class_order,class_type,new_class_code,new_class_name,old_class_code,old_class_type
7,JOB,11104,지방정부 고위 공무원,11104,지방정부 고위공무원
7,JOB,11105,공공 기관 임원,11105,공공기관 임원
7,JOB,11106,정당 및 특수 단체 임원,11106,정당 및 특수단체 임원
7,JOB,11201,기업 대표이사,11201,기업 대표이사
7,JOB,11202,기업 고위 임원,11202,기업 고위임원
7,JOB,12110,정부행정 관리자,12010,정부행정 관리자
7,JOB,12121,총무 및 인사 관리자,12021,총무 및 인사 관리자
7,JOB,6139,기타 사육 관련 종사원,6139,기타 사육관련 종사원
7,JOB,6201,조림·산림경영인 및 벌목원,6201,조림·영림 및 벌목원
7,JOB,6209,임산물 채취 및 기타 임업 관련 종사원,6209,임산물채취 및 기타 임업 관련 종사원
7,JOB,6301,양식원,6301,양식원
7,JOB,6302,어부 및 해녀,6302,어부 및 해녀
7,JOB,7101,제빵사 및 제과원,7101,제빵원 및 제과원
7,JOB,7102,떡 제조원,7102,떡제조원
7,JOB,7103,정육가공원 및 도축원,7103,정육원 및 도축원
7,JOB,7104,식품 및 담배 등급원,7104,식품 및 담배 등급원
7,JOB,7105,김치 및 밑반찬 제조 종사원,7105,김치 및 밑반찬 제조 종사원
7,JOB,7109,기타 식품가공 관련 종사원,7109,기타 식품가공관련 종사원
7,JOB,7211,패턴사,7211,패턴사
7,JOB,7212,재단사,7212,재단사
7,JOB,7213,재봉사,7213,재봉사
7,JOB,7214,제화원,7214,제화원
7,JOB,7219,기타 섬유 및 가죽 관련 기능 종사원,7219,기타 섬유 및 가죽 관련 기능 종사원
7,JOB,7221,한복 제조원,7221,한복 제조원
7,JOB,89215,경인쇄기 조작원,89215,경인쇄기 조작원
7,JOB,89216,디지털인쇄기 조작원,89216,디지털인쇄기 조작원
7,JOB,89217,그라비어인쇄기 조작원,89217,그라비어인쇄기 조작원
7,JOB,89218,제책 및 재단용 기계 조작원,89218,제책 및 재단용 기계 조작원
7,JOB,89219,그 외 인쇄기 조작원,89219,그 외 인쇄기 조작원
7,JOB,89221,사진 인화 및 현상기 조작원,89221,사진 인화 및 현상기 조작원
7,JOB,8919,기타 목재 및 종이 관련 기계 조작원,8919,기타 목재 및 종이 관련 기계조작원
7,JOB,8921,인쇄기 조작원,8921,인쇄기 조작원
7,JOB,8922,사진 인화 및 현상기 조작원,8922,사진인화 및 현상기 조작원
7,JOB,8421,도장기 조작원,8421,도장기 조작원
7,JOB,8422,도금 및 금속 분무기 조작원,8422,도금 및 금속분무기 조작원
7,JOB,8431,유리 제조 및 가공기 조작원,8431,유리제조 및 가공기 조작원
7,JOB,8432,점토제품 생산기 조작원,8432,점토제품 생산기 조작원
7,JOB,8433,시멘트 및 광물제품 제조기 조작원,8433,시멘트 및 광물제품 제조기 조작원
7,JOB,8434,광석 및 석제품 가공기 조작원,8434,광석 및 석제품 가공기 조작원
7,JOB,8439,기타 비금속제품 관련 생산기 조작원,8439,기타 비금속제품관련 생산기 조작원
